,Major,Minor,DocumentDate,SalePrice,SqFtTotLiving,ZipCode,PricePerSqFt,date
0,327480.0,560.0,01/18/2019,108560,890,98144,121.97752808988764,2019-01-18
1,367890.0,30.0,03/13/2019,923000,2550,98144,361.96078431372547,2019-03-13
2,765910.0,33.0,05/21/2019,640000,1300,98144,492.3076923076923,2019-05-21
3,872810.0,750.0,05/08/2019,768000,1440,98144,533.3333333333334,2019-05-08
4,754830.0,320.0,04/28/2019,490000,1038,98144,472.0616570327553,2019-04-28
5,983420.0,995.0,03/13/2019,667000,1070,98144,623.3644859813085,2019-03-13
6,159660.0,50.0,04/29/2019,610000,2380,98144,256.30252100840335,2019-04-29
7,570000.0,1660.0,03/19/2019,1265000,2890,98144,437.71626297577853,2019-03-19
8,937930.0,55.0,06/14/2019,810000,1790,98144,452.5139664804469,2019-06-14
9,605860.0,285.0,07/02/2019,665000,1320,98144,503.7878787878788,2019-07-02
10,149830.0,2872.0,03/12/2019,615000,1190,98144,516.8067226890756,2019-03-12
11,128230.0,1465.0,02/06/2019,415000,2300,98144,180.43478260869566,2019-02-06
12,56700.0,295.0,03/19/2019,587250,1200,98144,489.375,2019-03-19
13,125020.0,3095.0,04/19/2019,1311000,2150,98144,609.7674418604652,2019-04-19
14,125020.0,4835.0,04/23/2019,1795000,3330,98144,539.039039039039,2019-04-23
15,332000.0,405.0,04/11/2019,252000,3250,98144,77.53846153846153,2019-04-11
16,570000.0,3950.0,03/08/2019,1815000,3460,98144,524.5664739884393,2019-03-08
17,125020.0,390.0,02/19/2019,1105000,2020,98144,547.0297029702971,2019-02-19
18,125020.0,390.0,02/19/2019,1105000,1220,98144,905.7377049180328,2019-02-19
19,308600.0,2655.0,04/29/2019,720000,950,98144,757.8947368421053,2019-04-29
20,140030.0,100.0,05/28/2019,775000,2250,98144,344.44444444444446,2019-05-28
21,307950.0,135.0,03/01/2019,755000,2070,98144,364.7342995169082,2019-03-01
22,246090.0,151.0,02/12/2019,945000,2460,98144,384.1463414634146,2019-02-12
23,308300.0,1020.0,02/26/2019,660000,2380,98144,277.3109243697479,2019-02-26
24,327480.0,601.0,06/04/2019,1220000,2000,98144,610.0,2019-06-04
25,570000.0,2469.0,07/05/2019,825000,1680,98144,491.07142857142856,2019-07-05
26,332000.0,810.0,06/11/2019,770995,1680,98144,458.92559523809524,2019-06-11
27,983420.0,670.0,07/09/2019,775000,1100,98144,704.5454545454545,2019-07-09
28,327480.0,220.0,03/07/2019,645000,1700,98144,379.4117647058824,2019-03-07
29,149830.0,1880.0,04/19/2019,465000,1120,98144,415.17857142857144,2019-04-19
30,308300.0,1090.0,01/22/2019,739950,1840,98144,402.1467391304348,2019-01-22
31,56700.0,732.0,03/13/2019,480000,720,98144,666.6666666666666,2019-03-13
32,272920.0,95.0,05/31/2019,525000,1360,98144,386.02941176470586,2019-05-31
33,872810.0,745.0,07/12/2019,700000,1460,98144,479.45205479452056,2019-07-12
34,885000.0,315.0,01/14/2019,618000,1360,98144,454.4117647058824,2019-01-14
35,713330.0,295.0,05/09/2019,703000,2710,98144,259.409594095941,2019-05-09
36,712830.0,310.0,02/21/2019,780000,1675,98144,465.67164179104475,2019-02-21
37,754830.0,440.0,04/23/2019,201361,1900,98144,105.97947368421053,2019-04-23
38,59700.0,40.0,06/14/2019,450000,660,98144,681.8181818181819,2019-06-14
39,307650.0,950.0,06/05/2019,520000,1170,98144,444.44444444444446,2019-06-05
40,331950.0,1571.0,04/24/2019,915000,2160,98144,423.6111111111111,2019-04-24
41,149830.0,3885.0,06/24/2019,915000,2250,98144,406.6666666666667,2019-06-24
42,885000.0,515.0,04/26/2019,725000,1760,98144,411.9318181818182,2019-04-26
43,125020.0,3640.0,02/20/2019,1350000,3290,98144,410.3343465045593,2019-02-20
44,170340.0,218.0,02/15/2019,740000,1960,98144,377.55102040816325,2019-02-15
45,570000.0,1605.0,06/24/2019,1161000,2610,98144,444.82758620689657,2019-06-24
46,388190.0,635.0,03/24/2019,450000,700,98144,642.8571428571429,2019-03-24
47,570000.0,1930.0,02/26/2019,1692500,4970,98144,340.5432595573441,2019-02-26
48,56700.0,283.0,04/08/2019,750000,1640,98144,457.3170731707317,2019-04-08
49,539360.0,775.0,05/29/2019,805000,2260,98144,356.1946902654867,2019-05-29
50,983420.0,175.0,02/21/2019,450000,1670,98144,269.4610778443114,2019-02-21
51,140030.0,140.0,04/11/2019,569000,1600,98144,355.625,2019-04-11
52,754880.0,59.0,06/10/2019,815000,1560,98144,522.4358974358975,2019-06-10
53,570000.0,1075.0,05/10/2019,1005000,1800,98144,558.3333333333334,2019-05-10
54,35700.0,20.0,03/07/2019,772000,1540,98144,501.2987012987013,2019-03-07
55,56700.0,605.0,04/10/2019,825000,820,98144,1006.0975609756098,2019-04-10
56,209020.0,15.0,02/13/2019,1170000,3040,98144,384.86842105263156,2019-02-13
57,570000.0,2710.0,03/11/2019,1450000,2690,98144,539.0334572490706,2019-03-11
58,570000.0,615.0,06/20/2019,1400000,3190,98144,438.87147335423197,2019-06-20
59,713330.0,587.0,03/31/2019,690000,1860,98144,370.96774193548384,2019-03-31
60,56700.0,274.0,05/21/2019,779900,1639,98144,475.83892617449663,2019-05-21
61,308500.0,1755.0,07/01/2019,605000,1300,98144,465.38461538461536,2019-07-01
62,364410.0,94.0,04/29/2019,574400,1240,98144,463.2258064516129,2019-04-29
63,149830.0,1040.0,07/16/2019,1244600,430,98144,2894.4186046511627,2019-07-16
64,149830.0,1040.0,07/16/2019,1244600,2800,98144,444.5,2019-07-16
65,149830.0,1040.0,07/16/2019,1244600,1480,98144,840.9459459459459,2019-07-16
66,713230.0,508.0,03/25/2019,660000,1530,98144,431.37254901960785,2019-03-25
67,713230.0,508.0,03/25/2019,660000,1380,98144,478.2608695652174,2019-03-25
68,125070.0,25.0,06/04/2019,2340000,4090,98144,572.1271393643032,2019-06-04
69,149830.0,2170.0,01/02/2019,736750,1440,98144,511.63194444444446,2019-01-02
70,125020.0,2605.0,03/04/2019,620000,1360,98144,455.88235294117646,2019-03-04
71,713330.0,43.0,01/31/2019,592950,1360,98144,435.99264705882354,2019-01-31
72,152330.0,15.0,04/01/2019,450000,1200,98144,375.0,2019-04-01
73,162404.0,9226.0,06/04/2019,945000,3260,98144,289.8773006134969,2019-06-04
74,162404.0,9226.0,06/04/2019,250000,3260,98144,76.68711656441718,2019-06-04
75,983420.0,105.0,02/22/2019,630000,2270,98144,277.5330396475771,2019-02-22
76,332000.0,696.0,03/19/2019,629999,1300,98144,484.6146153846154,2019-03-19
77,360.0,90.0,01/09/2019,545000,930,98144,586.0215053763441,2019-01-09
78,327480.0,160.0,04/27/2019,658880,1140,98144,577.9649122807018,2019-04-27
79,396440.0,155.0,07/15/2019,650000,1450,98144,448.2758620689655,2019-07-15
80,569900.0,9.0,05/14/2019,1122000,2780,98144,403.59712230215825,2019-05-14
81,331950.0,1530.0,01/08/2019,850000,900,98144,944.4444444444445,2019-01-08
82,125020.0,2230.0,01/03/2019,928000,1180,98144,786.4406779661017,2019-01-03
83,360.0,92.0,04/11/2019,570000,930,98144,612.9032258064516,2019-04-11
84,570000.0,3355.0,07/05/2019,1475000,2640,98144,558.7121212121212,2019-07-05
85,125020.0,3660.0,04/26/2019,2000000,3260,98144,613.4969325153374,2019-04-26
86,983420.0,1474.0,05/09/2019,510000,1000,98144,510.0,2019-05-09
87,983420.0,180.0,05/13/2019,300000,1490,98144,201.34228187919464,2019-05-13
88,570000.0,1135.0,03/06/2019,940000,1960,98144,479.59183673469386,2019-03-06
89,673870.0,260.0,03/28/2019,820000,2210,98144,371.04072398190044,2019-03-28
90,149830.0,4000.0,04/24/2019,875000,810,98144,1080.2469135802469,2019-04-24
91,766010.0,240.0,05/02/2019,1236750,2900,98144,426.4655172413793,2019-05-02
92,570000.0,2468.0,02/12/2019,520000,1640,98144,317.0731707317073,2019-02-12
93,570000.0,3920.0,04/08/2019,2015000,3950,98144,510.126582278481,2019-04-08
94,570000.0,1415.0,01/18/2019,226697,1820,98144,124.5587912087912,2019-01-18
95,571200.0,35.0,01/28/2019,649000,910,98144,713.1868131868132,2019-01-28
96,27200.0,360.0,02/12/2019,627500,1310,98144,479.00763358778624,2019-02-12
97,125020.0,1435.0,03/05/2019,1635000,3480,98144,469.82758620689657,2019-03-05
98,912200.0,905.0,05/02/2019,735000,1940,98144,378.8659793814433,2019-05-02
99,531210.0,40.0,04/17/2019,400000,1010,98144,396.03960396039605,2019-04-17
100,447340.0,180.0,05/20/2019,1499000,2230,98144,672.1973094170404,2019-05-20
101,754830.0,813.0,03/20/2019,1100000,1960,98144,561.2244897959183,2019-03-20
102,246090.0,90.0,02/13/2019,686000,1910,98144,359.16230366492147,2019-02-13
103,388190.0,255.0,01/04/2019,850000,2920,98144,291.09589041095893,2019-01-04
104,379600.0,99.0,04/29/2019,749950,1310,98144,572.4809160305343,2019-04-29
105,379600.0,99.0,06/11/2019,699950,1310,98144,534.3129770992366,2019-06-11
106,331950.0,1606.0,03/21/2019,850000,550,98144,1545.4545454545455,2019-03-21
107,331950.0,1606.0,03/21/2019,850000,550,98144,1545.4545454545455,2019-03-21
108,570000.0,3810.0,05/02/2019,2150000,3920,98144,548.469387755102,2019-05-02
109,570000.0,3810.0,04/26/2019,2150000,3920,98144,548.469387755102,2019-04-26
110,570000.0,2940.0,05/10/2019,965000,1580,98144,610.7594936708861,2019-05-10
111,42404.0,9018.0,01/16/2019,1200000,2140,98144,560.7476635514018,2019-01-16
112,570000.0,1955.0,03/08/2019,2149000,4740,98144,453.3755274261603,2019-03-08
113,691020.0,55.0,04/23/2019,920000,2310,98144,398.26839826839824,2019-04-23
114,335740.0,55.0,02/27/2019,1400000,1510,98144,927.1523178807947,2019-02-27
115,331950.0,1605.0,04/08/2019,850000,570,98144,1491.2280701754387,2019-04-08
116,331950.0,1605.0,04/08/2019,850000,570,98144,1491.2280701754387,2019-04-08
117,331950.0,1605.0,04/08/2019,850000,570,98144,1491.2280701754387,2019-04-08
118,331950.0,1605.0,04/08/2019,850000,570,98144,1491.2280701754387,2019-04-08
119,66900.0,210.0,04/25/2019,1705000,2670,98144,638.5767790262172,2019-04-25
120,128230.0,1115.0,01/12/2019,552000,1300,98144,424.61538461538464,2019-01-12
121,396440.0,65.0,03/27/2019,770000,1790,98144,430.16759776536315,2019-03-27
122,754830.0,720.0,03/07/2019,659999,1250,98144,527.9992,2019-03-07
123,570000.0,1875.0,06/06/2019,1507000,3080,98144,489.2857142857143,2019-06-06
124,411460.0,1545.0,05/13/2019,2700000,1940,98144,1391.7525773195875,2019-05-13
125,29900.0,15.0,04/12/2019,535000,1040,98144,514.4230769230769,2019-04-12
126,125020.0,2324.0,01/29/2019,960000,3870,98144,248.06201550387595,2019-01-29
127,27200.0,170.0,05/17/2019,1050000,1900,98144,552.6315789473684,2019-05-17
128,539360.0,810.0,02/26/2019,795000,1570,98144,506.36942675159236,2019-02-26
129,63500.0,130.0,01/23/2019,2900000,3220,98144,900.6211180124224,2019-01-23
130,307650.0,545.0,02/27/2019,632888,960,98144,659.2583333333333,2019-02-27
131,983420.0,660.0,02/22/2019,780000,1510,98144,516.5562913907285,2019-02-22
132,812110.0,1160.0,03/19/2019,2390000,4320,98144,553.2407407407408,2019-03-19
133,605860.0,115.0,04/15/2019,900000,1830,98144,491.8032786885246,2019-04-15
134,605860.0,115.0,04/15/2019,900000,1920,98144,468.75,2019-04-15
135,605860.0,115.0,04/15/2019,900000,1860,98144,483.8709677419355,2019-04-15
136,605860.0,115.0,04/15/2019,900000,1840,98144,489.1304347826087,2019-04-15
137,605860.0,115.0,04/15/2019,900000,1810,98144,497.23756906077347,2019-04-15
138,605860.0,115.0,04/15/2019,900000,1900,98144,473.6842105263158,2019-04-15
139,605860.0,115.0,04/15/2019,900000,1790,98144,502.7932960893855,2019-04-15
140,605860.0,115.0,01/24/2019,899500,1830,98144,491.53005464480873,2019-01-24
141,605860.0,115.0,01/24/2019,899500,1920,98144,468.4895833333333,2019-01-24
142,605860.0,115.0,01/24/2019,899500,1860,98144,483.60215053763443,2019-01-24
143,605860.0,115.0,01/24/2019,899500,1840,98144,488.85869565217394,2019-01-24
144,605860.0,115.0,01/24/2019,899500,1810,98144,496.96132596685084,2019-01-24
145,605860.0,115.0,01/24/2019,899500,1900,98144,473.42105263157896,2019-01-24
146,605860.0,115.0,01/24/2019,899500,1790,98144,502.5139664804469,2019-01-24
147,766060.0,85.0,06/04/2019,782500,1480,98144,528.7162162162163,2019-06-04
148,816160.0,155.0,06/26/2019,717000,1120,98144,640.1785714285714,2019-06-26
149,59700.0,200.0,03/29/2019,725000,1500,98144,483.3333333333333,2019-03-29
150,570000.0,3340.0,01/24/2019,1715000,2890,98144,593.4256055363322,2019-01-24
151,308300.0,76.0,04/16/2019,195000,410,98144,475.609756097561,2019-04-16
152,379600.0,98.0,05/13/2019,749950,1420,98144,528.1338028169014,2019-05-13
153,754830.0,503.0,05/14/2019,760000,1580,98144,481.0126582278481,2019-05-14
154,125020.0,2438.0,05/10/2019,1150000,2700,98144,425.9259259259259,2019-05-10
155,27200.0,390.0,03/04/2019,484950,1080,98144,449.02777777777777,2019-03-04
156,73000.0,120.0,03/26/2019,540000,1260,98144,428.57142857142856,2019-03-26
157,411460.0,1485.0,05/30/2019,3973500,4150,98144,957.4698795180723,2019-05-30
158,152330.0,65.0,05/08/2019,710000,1040,98144,682.6923076923077,2019-05-08
159,308300.0,1010.0,02/26/2019,500000,760,98144,657.8947368421053,2019-02-26
160,59700.0,235.0,07/15/2019,715000,1590,98144,449.685534591195,2019-07-15
161,570000.0,2315.0,04/25/2019,700000,1260,98144,555.5555555555555,2019-04-25
162,149830.0,690.0,02/06/2019,899000,3380,98144,265.97633136094674,2019-02-06
163,570000.0,2525.0,06/14/2019,1546500,2340,98144,660.8974358974359,2019-06-14
164,308300.0,1180.0,06/18/2019,568800,980,98144,580.4081632653061,2019-06-18
165,194480.0,60.0,05/15/2019,580000,980,98144,591.8367346938776,2019-05-15
166,125020.0,3365.0,01/02/2019,1020000,1740,98144,586.2068965517242,2019-01-02
167,149830.0,3700.0,06/24/2019,1592000,2580,98144,617.0542635658915,2019-06-24
168,379600.0,101.0,04/16/2019,750000,1350,98144,555.5555555555555,2019-04-16
169,765860.0,14.0,02/01/2019,605000,1310,98144,461.8320610687023,2019-02-01
170,912200.0,395.0,02/14/2019,1120000,1460,98144,767.1232876712329,2019-02-14
171,713280.0,365.0,03/22/2019,785000,2250,98144,348.8888888888889,2019-03-22
172,539360.0,1130.0,05/15/2019,440000,2580,98144,170.54263565891472,2019-05-15
173,690970.0,290.0,01/03/2019,1041100,660,98144,1577.4242424242425,2019-01-03
174,690970.0,290.0,01/03/2019,1041100,2050,98144,507.8536585365854,2019-01-03
175,155620.0,245.0,07/01/2019,922000,1380,98122,668.1159420289855,2019-07-01
176,721740.0,680.0,05/24/2019,780800,860,98122,907.9069767441861,2019-05-24
177,219760.0,620.0,07/05/2019,1400000,1140,98122,1228.0701754385964,2019-07-05
178,982820.0,1950.0,05/29/2019,1192000,2240,98122,532.1428571428571,2019-05-29
179,982920.0,415.0,05/14/2019,1430000,2180,98122,655.9633027522935,2019-05-14
180,118900.0,865.0,05/17/2019,900000,1540,98122,584.4155844155844,2019-05-17
181,225450.0,2295.0,06/25/2019,932500,1940,98122,480.6701030927835,2019-06-25
182,535020.0,615.0,04/26/2019,730000,1500,98122,486.6666666666667,2019-04-26
183,880490.0,930.0,01/02/2019,1875000,2490,98122,753.0120481927711,2019-01-02
184,936360.0,345.0,01/15/2019,1100000,1600,98122,687.5,2019-01-15
185,982820.0,1590.0,02/15/2019,805000,1630,98122,493.86503067484665,2019-02-15
186,981870.0,455.0,02/28/2019,950000,2320,98122,409.48275862068965,2019-02-28
187,684070.0,161.0,03/22/2019,290000,780,98122,371.79487179487177,2019-03-22
188,225450.0,1329.0,06/23/2019,952500,1680,98122,566.9642857142857,2019-06-23
189,684070.0,805.0,03/21/2019,1033000,1820,98122,567.5824175824176,2019-03-21
190,722850.0,905.0,03/24/2019,1050000,2040,98122,514.7058823529412,2019-03-24
191,760.0,88.0,03/18/2019,350000,2250,98122,155.55555555555554,2019-03-18
192,982870.0,90.0,02/21/2019,889000,1300,98122,683.8461538461538,2019-02-21
193,427890.0,175.0,05/30/2019,985000,2660,98122,370.30075187969925,2019-05-30
194,760.0,110.0,05/30/2019,510000,1020,98122,500.0,2019-05-30
195,225450.0,1705.0,05/21/2019,845000,920,98122,918.4782608695652,2019-05-21
196,983930.0,80.0,06/26/2019,630000,810,98122,777.7777777777778,2019-06-26
197,982670.0,478.0,06/10/2019,757000,1430,98122,529.3706293706293,2019-06-10
198,155620.0,115.0,05/28/2019,1100000,1980,98122,555.5555555555555,2019-05-28
199,983930.0,155.0,01/16/2019,1498200,1520,98122,985.6578947368421,2019-01-16
200,303720.0,10.0,01/28/2019,629500,1180,98122,533.4745762711865,2019-01-28
201,912610.0,1936.0,05/30/2019,740000,1210,98122,611.5702479338843,2019-05-30
202,918470.0,105.0,06/13/2019,1850000,3200,98122,578.125,2019-06-13
203,754480.0,125.0,03/14/2019,390000,1060,98122,367.92452830188677,2019-03-14
204,794260.0,1195.0,03/18/2019,1010000,1920,98122,526.0416666666666,2019-03-18
205,722850.0,2195.0,06/18/2019,1050000,1710,98122,614.0350877192982,2019-06-18
206,171040.0,75.0,05/11/2019,1200000,2450,98122,489.7959183673469,2019-05-11
207,723460.0,806.0,02/22/2019,311000,1820,98122,170.87912087912088,2019-02-22
208,757620.0,50.0,05/16/2019,1170000,2800,98122,417.85714285714283,2019-05-16
209,982870.0,2060.0,02/13/2019,620000,950,98122,652.6315789473684,2019-02-13
210,982870.0,1982.0,04/16/2019,870000,1840,98122,472.82608695652175,2019-04-16
211,715320.0,120.0,05/08/2019,1325000,2640,98122,501.8939393939394,2019-05-08
212,936360.0,80.0,06/02/2019,1300000,1620,98122,802.4691358024692,2019-06-02
213,723460.0,1151.0,06/27/2019,875000,1520,98122,575.6578947368421,2019-06-27
214,982670.0,1781.0,02/13/2019,760000,1940,98122,391.7525773195876,2019-02-13
215,536620.0,465.0,05/12/2019,1290000,3040,98122,424.3421052631579,2019-05-12
216,721740.0,1305.0,06/20/2019,1015000,1950,98122,520.5128205128206,2019-06-20
217,982820.0,620.0,04/16/2019,895000,1560,98122,573.7179487179487,2019-04-16
218,225850.0,48.0,03/26/2019,699990,770,98122,909.077922077922,2019-03-26
219,982920.0,65.0,06/27/2019,1600000,2410,98122,663.9004149377594,2019-06-27
220,211020.0,180.0,04/28/2019,849000,1900,98122,446.8421052631579,2019-04-28
221,536620.0,680.0,03/08/2019,750000,1920,98122,390.625,2019-03-08
222,536620.0,85.0,06/13/2019,888000,1330,98122,667.6691729323309,2019-06-13
223,912610.0,458.0,05/31/2019,1035000,1930,98122,536.2694300518135,2019-05-31
224,760.0,89.0,06/03/2019,866250,2700,98122,320.8333333333333,2019-06-03
225,983930.0,125.0,07/18/2019,1425000,2580,98122,552.3255813953489,2019-07-18
226,684070.0,550.0,05/09/2019,625000,750,98122,833.3333333333334,2019-05-09
227,303720.0,6.0,03/04/2019,800000,1490,98122,536.9127516778524,2019-03-04
228,536620.0,60.0,07/09/2019,1440000,1760,98122,818.1818181818181,2019-07-09
229,428990.0,145.0,05/15/2019,1850000,3480,98122,531.6091954022988,2019-05-15
230,794260.0,1730.0,06/11/2019,1308000,2500,98122,523.2,2019-06-11
231,211020.0,170.0,03/06/2019,640000,1120,98122,571.4285714285714,2019-03-06
232,722850.0,2087.0,04/18/2019,870000,1240,98122,701.6129032258065,2019-04-18
233,982920.0,245.0,05/28/2019,1985000,3070,98122,646.5798045602606,2019-05-28
234,983930.0,95.0,03/27/2019,849000,2580,98122,329.06976744186045,2019-03-27
235,936360.0,457.0,05/24/2019,1153000,1840,98122,626.6304347826087,2019-05-24
236,427890.0,55.0,06/20/2019,825000,1550,98122,532.258064516129,2019-06-20
237,912610.0,226.0,02/26/2019,1000000,2780,98122,359.71223021582733,2019-02-26
238,715170.0,530.0,05/22/2019,1517151,2822,98122,537.615520907158,2019-05-22
239,794260.0,1430.0,04/17/2019,850000,2400,98122,354.1666666666667,2019-04-17
240,142220.0,185.0,07/12/2019,1000000,1750,98122,571.4285714285714,2019-07-12
241,142220.0,270.0,02/07/2019,904000,992,98122,911.2903225806451,2019-02-07
242,118900.0,725.0,06/26/2019,743000,1180,98122,629.6610169491526,2019-06-26
243,118900.0,85.0,01/24/2019,522000,770,98122,677.922077922078,2019-01-24
244,332504.0,9032.0,01/31/2019,806000,1390,98122,579.8561151079136,2019-01-31
245,332504.0,9032.0,01/31/2019,806000,1390,98122,579.8561151079136,2019-01-31
246,982820.0,335.0,04/16/2019,730000,1820,98122,401.0989010989011,2019-04-16
247,794260.0,2165.0,02/13/2019,780500,1460,98122,534.5890410958904,2019-02-13
248,918720.0,95.0,05/14/2019,990000,2500,98122,396.0,2019-05-14
249,936360.0,245.0,07/09/2019,1515496,2750,98122,551.0894545454546,2019-07-09
250,982670.0,1194.0,04/23/2019,689000,1150,98122,599.1304347826087,2019-04-23
251,277910.0,35.0,05/24/2019,675000,830,98122,813.2530120481928,2019-05-24
252,684070.0,990.0,03/26/2019,729000,920,98122,792.3913043478261,2019-03-26
253,142220.0,281.0,04/23/2019,815000,1120,98122,727.6785714285714,2019-04-23
254,982920.0,50.0,04/03/2019,1185000,3020,98122,392.3841059602649,2019-04-03
255,760.0,86.0,05/03/2019,857500,1450,98122,591.3793103448276,2019-05-03
256,535020.0,1365.0,04/15/2019,2727000,4180,98122,652.3923444976076,2019-04-15
257,684070.0,75.0,06/21/2019,922000,1230,98122,749.5934959349594,2019-06-21
258,721740.0,635.0,02/26/2019,670000,1500,98122,446.6666666666667,2019-02-26
259,982820.0,1250.0,05/12/2019,1125000,2060,98122,546.1165048543689,2019-05-12
260,515770.0,140.0,05/10/2019,1240000,2760,98122,449.27536231884056,2019-05-10
261,118900.0,365.0,07/02/2019,910000,950,98122,957.8947368421053,2019-07-02
